2025-12-29 15:47:57.941 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-12-29 15:47:57.970 [main] INFO  com.wzz.qq.QqApplication - Starting QqApplication using Java 21.0.9 with PID 33840 (C:\Users\32139\IdeaProjects\qq\target\classes started by 32139 in C:\Users\32139\IdeaProjects\qq)
2025-12-29 15:47:57.972 [main] INFO  com.wzz.qq.QqApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-29 15:47:58.615 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.wzz.qq]' package. Please check your configuration.
2025-12-29 15:47:58.991 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8077 (http)
2025-12-29 15:47:59.005 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8077"]
2025-12-29 15:47:59.006 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-29 15:47:59.006 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-12-29 15:47:59.067 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-29 15:47:59.068 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1068 ms
2025-12-29 15:47:59.665 [main] INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-12-29 15:47:59.736 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8077"]
2025-12-29 15:47:59.756 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8077 (http) with context path '/'
2025-12-29 15:47:59.766 [main] INFO  com.wzz.qq.QqApplication - Started QqApplication in 2.142 seconds (process running for 6.636)
2025-12-29 15:48:01.925 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-29 15:48:01.931 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
